TransactionNo,Items,DateTime
1,Bread,2016-10-30 09:58:11
2,Scandinavian,2016-10-30 10:05:34
2,Scandinavian,2016-10-30 10:05:34
3,Hot chocolate,2016-10-30 10:07:57
3,Jam,2016-10-30 10:07:57
3,Cookies,2016-10-30 10:07:57
4,Muffin,2016-10-30 10:08:41
5,Coffee,2016-10-30 10:13:03
5,Pastry,2016-10-30 10:13:03
5,Bread,2016-10-30 10:13:03
6,Medialuna,2016-10-30 10:16:55
6,Pastry,2016-10-30 10:16:55
6,Muffin,2016-10-30 10:16:55
7,Medialuna,2016-10-30 10:19:12
7,Pastry,2016-10-30 10:19:12
7,Coffee,2016-10-30 10:19:12
7,Tea,2016-10-30 10:19:12
8,Pastry,2016-10-30 10:20:51
8,Bread,2016-10-30 10:20:51
9,Bread,2016-10-30 10:21:59
9,Muffin,2016-10-30 10:21:59
10,Scandinavian,2016-10-30 10:25:58
10,Medialuna,2016-10-30 10:25:58
11,Bread,2016-10-30 10:27:21
11,Medialuna,2016-10-30 10:27:21
11,Bread,2016-10-30 10:27:21
12,Jam,2016-10-30 10:30:14
12,Coffee,2016-10-30 10:30:14
12,Tartine,2016-10-30 10:30:14
12,Pastry,2016-10-30 10:30:14
12,Tea,2016-10-30 10:30:14
13,Basket,2016-10-30 10:31:24
13,Bread,2016-10-30 10:31:24
13,Coffee,2016-10-30 10:31:24
14,Bread,2016-10-30 10:32:46
14,Medialuna,2016-10-30 10:32:46
14,Pastry,2016-10-30 10:32:46
15,Mineral water,2016-10-30 10:34:36
15,Scandinavian,2016-10-30 10:34:36
16,Bread,2016-10-30 10:37:08
16,Medialuna,2016-10-30 10:37:08
16,Coffee,2016-10-30 10:37:08
17,Hot chocolate,2016-10-30 10:38:04
18,Farm House,2016-10-30 10:41:56
19,Farm House,2016-10-30 10:43:08
19,Bread,2016-10-30 10:43:08
20,Bread,2016-10-30 10:45:22
20,Medialuna,2016-10-30 10:45:22
21,Coffee,2016-10-30 10:49:29
21,Coffee,2016-10-30 10:49:29
21,Medialuna,2016-10-30 10:49:29
21,Bread,2016-10-30 10:49:29
22,Jam,2016-10-30 10:52:15
23,Scandinavian,2016-10-30 10:53:49
23,Muffin,2016-10-30 10:53:49
24,Bread,2016-10-30 10:54:33
25,Scandinavian,2016-10-30 10:55:22
26,Fudge,2016-10-30 10:56:08
27,Scandinavian,2016-10-30 11:02:19
28,Coffee,2016-10-30 11:03:24
28,Bread,2016-10-30 11:03:24
29,Bread,2016-10-30 11:05:30
29,Jam,2016-10-30 11:05:30
30,Bread,2016-10-30 11:07:19
31,Basket,2016-10-30 11:12:56
32,Scandinavian,2016-10-30 11:16:15
32,Muffin,2016-10-30 11:16:15
33,Coffee,2016-10-30 11:22:49
34,Coffee,2016-10-30 11:25:45
34,Muffin,2016-10-30 11:25:45
35,Muffin,2016-10-30 11:27:34
35,Scandinavian,2016-10-30 11:27:34
36,Tea,2016-10-30 11:33:08
36,Bread,2016-10-30 11:33:08
37,Coffee,2016-10-30 11:37:10
37,Bread,2016-10-30 11:37:10
38,Bread,2016-10-30 11:42:40
38,Tea,2016-10-30 11:42:40
39,Scandinavian,2016-10-30 11:44:31
40,Juice,2016-10-30 11:55:51
40,Tartine,2016-10-30 11:55:51
