review,sentiment
очень сильно электризуется и очень широкое,neutral
Качество ужасное! Швы плохо обработаны! Не стоит она столько!,negative
очень тонкая синтетика. на русский 48-50 заказала хххл село отлично не обтянуло.,neutral
Ужасное качество,negative
"Не разделю восторженных отзывов предыдущих покупателей. Шарфик хлипковат, ткань тонкая, на вид - разрезанный квадратный шарф и по самой длинной стороне прошитый, чтобы не лез, не купила бы. Доставка быстрая, отправка моментальная.",neutral
Продавец вместо черных прислал красные чулки,neutral
"Товар не пришёл, вернули деньги.",negative
это полупрозрачная синтетическая тряпка. На толстовку далеко не похоже!,negative
"Высылают чёрт те что! Заказала по этой ссылке два свитера - себе синий L и маме бежевый M (она носит международный размер XS) - оба свитера пришли почти одинаковые! Разница у бежевого свитера только на пару см меньше в плечах. По пряже и качеству - синий чуть более рыхлый и пушистый, есть натуральные волокна в составе, быстро закатывается катышками. Бежевый свитер тоже очень мягкий, но вязка плоская, выглядит мягкой синтетикой и тоже закатывается катышками на лицевой вязке кос. Али вернул часть денег по спору о несоответствии размера таблице, на предложение прода выслать новый свитер я не согласилась - зачем мне куча ненужных свитеров? К тому же, судя по отзывам, прод высылает на замену свитера ещё более низкого качества. По синему свитеру претензии только к катышкам и цвету, который бледнее, чем у блоггерши",neutral
"Долгая доставка. На почте вообще заказ потеряли и пролежал он там почти неделю. На счет товара, соответствует цене.",positive
Кофта идеально подошла.Штаны широкие размер выберала свой они короткие в общем мне понравилась только кофта...,neutral
"все классно мне все нравится , пришло быстро даже не ожидала )",negative
"Отвратительный крой у сарафана. Кривые выточки на груди, на меня не сел совершенно. На свои параметры брала размер L - был бы впору. Но носить его не буду, уродует фигуру. Ткань приятная, есть подклада. Пуговки выглядят дешево. Цена в 900 рублей на данное изделие завышена. Продавец отправил товар только через неделю. Не рекомендую.",negative
"Заказала L на свой М, маленький и узкий!!!! Хотя качество приличное. Нитки не торчат. Химического запаха нет. Хлопок. Симпатичный свитеров, но кто будет его носить!?!",negative
"покупкой не довольна, плохо пошито, в поясе дыра размером в 2 пальца, много ниток торчит, на утюге после глажки остатки ворса.",negative
"заказ был сделан в мае. сегодня конец октября., посылка так и не пришла",negative
товар пришёл полинявший или выгоревший невозможно носить,negative
"Описание не соответствует. На самом деле длина 60, рукава 59
Через спор вернула деньги",negative
"Ужасный костюм! Девочки, не тратьте деньги и время! Лекало непонятно какое, абсолютно не сидит! Рукава короткие, хоть я и невысокого роста 165. На 90/74/92 брала С, ужасно сидит, очень тянет в спине, хотя с виду сидит свободно! Отдам младшей сестре, может на ней будет более менее. Не стоит своих денег однозначно!",negative
"Вас всех с Новым годом. Вам успехов и всем счастья и любви . Всё очень хорошо по размеру . 
Очень прошу сообщить о новых платьях . Всех ЦЕЛУЮ .",positive
"Сшиты хорошо,но ткань просто ужас",neutral
"Товар жду 4 месяц, деньги не возвращены!!! Продавца НЕ РЕКОМЕНДУЮ",negative
"обманули с доставкой, не пришло",neutral
"платье отличное. На параметры 92-73-98 размер подошел, но в талии в притык, в груди можно еще). На рост 168 чуть длинновато",positive
"цвет не соответствует,ткань как на строчке.Заказ отправлялся долго",neutral
"Товар пришел за 2 недели, без запаха, но сшит мягко говоря не очень, непропорционально, по бокам и на молнии есть места, где вообще не прострочено, пуговицы пришиты очень широко, так, что видно все нижнее белье, так что, я покупкой крайне не довольна",negative
куртка пришла порватая. отправила ее обратно но деньги вернули продавцу я разочарованна.качество ужас,negative
"Размерный ряд соответствует. На рус. 46 взяла L. Все хорошо, но на этом плюсы кончаются. Материал неприятный на ощупь-скрепит. Ну прямо совсем-совсем синтетика. Есть запах. Выглядит на яву совсем не так как на картинке. Не стоит потраченых денег. За это и сняла звезды.",neutral
ну очень долгая доставка я думала уже не приедет никогда,neutral
Пришло не то платье. Деньги вернули.,negative
очень долго шло,negative
"деньги вернули, через спор",neutral
"ОЧЕНЬ ДОЛГАЯ ДОСТАВКА  полтора месяца до Брянской олбасти,внешне все как на фото",neutral
